Artist_Albums_Number,Artist_Albums_Tracks_Number,Artist_Appearances_Number,Artist_Appearances_Tracks_Number,Artist_Compilations_Number,Artist_Compilations_Tracks_Number,Artist_Follower,Artist_ID,Artist_Popularity,Artist_Singles_Number,Artist_Singles_Tracks_Number,Genre,Release_Date,Streams,Track_Artist,Track_Duration_ms,Track_ID,Track_Popularity,Track_Title,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,commentCount,dislikeCount,likeCount,video_ID,viewsCount,Charts
1221,1461,0,0,64,2121,2492413,5aIqB5nVVvmFsvSdExz408,80,229,96,Classic,2019-03-29,,Johann Sebastian Bach,139306,4SFBV7SRNG2e2kyL1F6kjU,63,"The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude in C Major, BWV 846","0,989","0,221","0,126","0,897",0,"0,102","-25,427",1,"0,0447","133,63",4,"0,216",0,4,126,ChdQ3xmTh8s,8580,0
725,893,535,1898,38,1065,321335,0Kekt6CKSo0m5mivKcoH51,66,86,154,Classic,2015-08-28,,Sergei Rachmaninoff,174653,419qlOGNXoyICx4jO0hqaj,54,"Rhapsody On A Theme Of Paganini, Op.43: Variation 18. Andante cantabile","0,98","0,205","0,0525","0,906",1,"0,103","-23,841",1,"0,0327","88,316",4,"0,0511",9,3,454,JY_RfJcUPFM,64572,0
355,1699,1080,1727,24,642,275444,5ihY290YPGc3aY2xTyx7Gy,65,19,61,Classic,2015-05-18,,Edvard Grieg,820853,2Z4aQJh0kesRMookvtfR4y,56,"Piano Concerto in A Minor, Op.16: I. Allegro molto moderato","0,975","0,303","0,119","0,88",9,"0,112","-18,055",0,"0,0386","94,868",4,"0,038",35,4,724,zaJRibTfOec,74467,0
1156,1230,0,0,101,1317,3321232,4NJhFmfw43RLBLjQvxDuRS,79,181,69,Classic,1959,,Wolfgang Amadeus Mozart,532040,63cA2QfqtWZa0GGPZnYc0K,50,Clarinet Concerto in A K622 (1990 Digital Remaster): II. Adagio,"0,98","0,0999","0,0241","0,766",2,"0,0623","-25,651",1,"0,0432","89,001",3,"0,0396",0,0,21,gA5Jvy2_6Kc,509,0
1148,1008,0,0,122,2109,3104946,2wOqMjp9TyABvtHdOSOTUS,77,124,66,Classic,1995-01-01,,Ludwig van Beethoven,442000,6cUCckpdlqHJ5Ascf2uH2A,61,"Symphony No. 5 in C Minor, Op. 67: 1. Allegro con brio","0,957","0,248","0,298","0,9",0,"0,0943","-15,661",0,"0,0395","97,853",4,"0,157",0,3,61,xK2YGMISH8I,3845,0
273,826,1223,1485,9,182,199741,436sYg6CZhNefQJogaXeK0,66,28,63,Classic,2015-09-18,,Camille Saint-Saëns,174266,0jOnZhF75V68VsBObWx2XO,65,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)","0,986","0,169","0,0161","0,86",9,"0,0805","-31,034",0,"0,0442","128,143",3,"0,0573",1,0,17,-QtomSq3jhk,491,0
600,755,858,1680,11,416,137562,4kHtgiRnpmFIV5Tm4BIs8l,60,28,118,Classic,1973,,Sergei Prokofiev,341693,7HSs4srn1qnZhh7WRWBVOk,54,"Prokofiev: Romeo and Juliet, Op. 64, Act 1: No. 13, Dance of the Knights (Complete Ballet)","0,927","0,209","0,101","0,9",0,"0,0776","-19,383",1,"0,0403","85,851",4,"0,153",2,2,127,IhVtglR8lkI,4978,0
0,0,86,1282,0,0,24845,3FzG2HgsgPRfwpX1qSK1g8,52,67,64,Techno,2020-02-10,,Mark Dekoda,315223,3M5F5teshlnR7LM5TQMEzq,46,The Curse,"0,000194","0,809","0,649","0,901",9,"0,109","-6,284",0,"0,0666","133,994",4,"0,0388",51,8,801,DuWu4oPYc8A,14994,0
4,38,41,980,1,8,1492,2Sj2h8wkeOzMnfxaSj43gG,44,27,73,Techno,2020-02-07,,Christopher Kah,514453,6swmjjI795zQvZ9iOs5chj,43,Lunar,"0,000217","0,721","0,887","0,847",11,"0,111","-7,273",0,"0,093","132,004",4,"0,0422",0,0,2,1jMXngQT134,69,0
6,57,284,915,0,0,4194,1YeRLPqVEJIpa6jstdiD0O,44,101,136,Techno,2020-02-17,,Frankyeffe,353417,0VbtTdpujHp0yRUuHfQ52z,42,Advance,"0,487","0,685","0,495","0,932",1,"0,111","-14,287",1,"0,0392","131,007",1,"0,0373",2,0,71,w6gv1kb_1lc,1221,0
0,0,85,748,0,0,8496,2jvTYwyzxK1FVYGEoKfZLQ,48,42,108,Techno,2019-11-22,,Cosmic Boys,471968,5UduvVx5HmM4WOL0jGwdqZ,52,Dream,"0,0105","0,735","0,84","0,806",7,"0,0805","-4,934",1,"0,0631","126,997",4,"0,304",0,0,153,I9VwQOe9vOo,5946,0
3,38,25,732,0,0,5732,4xfA60YoR4UbBxuOn9WXJq,47,24,36,Techno,2020-01-17,,A*S*Y*S,376615,6ii9jXHOcmfB5vXYe8u4Qo,47,No Tech,"0,000157","0,731","0,938","0,877",6,"0,106","-6,432",1,"0,062","129,993",3,"0,0536",19,5,928,_WzLlJ4Q7VI,16718,0
2,16,427,1131,0,0,4750,3jcvzSheHd14vjraXHLGPN,44,82,87,Techno,2019-12-13,,Belocca,422070,6HOsFY1ygOG1C5SB5jjy8H,49,Mental Cinema,"0,000521","0,722","0,808","0,865",7,"0,0707","-7,936",1,"0,0978","127,989",4,"0,323",3,4,118,6DClm9EtJsw,3482,0
0,0,70,1001,0,0,23418,59a1Bp0JQfL2mGnpL0lW2Y,55,15,41,Techno,2019-12-13,,Joyhauser,382500,4BMCwBiTAtmoYc3PXe7QJQ,51,Landa,"0,00183","0,708","0,723","0,895",7,"0,0911","-4,691",1,"0,0549","127,99",4,"0,376",6,3,375,-Az9jVjiUoE,14754,0
3,53,14,285,0,0,615421,12xme1fwd3iGEW7rF9b6tp,67,14,24,Pop,2019-09-20,103239,Wincent Weiss,181000,5YOKXGkBdTHpGhnBUtVaFH,58,Einmal im Leben,"0,335","0,658","0,73",0,0,"0,585","-6,603",1,"0,0625","148,029",4,"0,681",194,195,8145,pCuShIh7KVc,779924,1
